#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
GeneID:1014	ENSG00000166589.13	HGNC:1755	CDH16	cadherin 16	NM_004062.4	NP_004053.1	ENST00000299752.9	ENSP00000299752.4	MANE Select	NC_000016.10	66908122	66918885	-
GeneID:1015	ENSG00000079112.10	HGNC:1756	CDH17	cadherin 17	NM_004063.4	NP_004054.3	ENST00000027335.8	ENSP00000027335.3	MANE Select	NC_000008.11	94127162	94208555	-
GeneID:1016	ENSG00000145526.12	HGNC:1757	CDH18	cadherin 18	NM_004934.5	NP_004925.1	ENST00000382275.6	ENSP00000371710.1	MANE Select	NC_000005.10	19471296	19988200	-
GeneID:1017	ENSG00000123374.11	HGNC:1771	CDK2	cyclin dependent kinase 2	NM_001798.5	NP_001789.2	ENST00000266970.9	ENSP00000266970.4	MANE Select	NC_000012.12	55966830	55972789	+
GeneID:1018	ENSG00000250506.9	HGNC:1772	CDK3	cyclin dependent kinase 3	NM_001258.4	NP_001249.1	ENST00000448471.3	ENSP00000400088.1	MANE Select	NC_000017.11	76000855	76005998	+
GeneID:1019	ENSG00000135446.17	HGNC:1773	CDK4	cyclin dependent kinase 4	NM_000075.4	NP_000066.1	ENST00000257904.11	ENSP00000257904.5	MANE Select	NC_000012.12	57747727	57752310	-
GeneID:1020	ENSG00000164885.13	HGNC:1774	CDK5	cyclin dependent kinase 5	NM_004935.4	NP_004926.1	ENST00000485972.6	ENSP00000419782.1	MANE Select	NC_000007.14	151053815	151057897	-
GeneID:1021	ENSG00000105810.10	HGNC:1777	CDK6	cyclin dependent kinase 6	NM_001145306.2	NP_001138778.1	ENST00000424848.3	ENSP00000397087.3	MANE Select	NC_000007.14	92604921	92836573	-
GeneID:1022	ENSG00000134058.12	HGNC:1778	CDK7	cyclin dependent kinase 7	NM_001799.4	NP_001790.1	ENST00000256443.8	ENSP00000256443.3	MANE Select	NC_000005.10	69234886	69277430	+
GeneID:1024	ENSG00000132964.13	HGNC:1779	CDK8	cyclin dependent kinase 8	NM_001260.3	NP_001251.1	ENST00000381527.8	ENSP00000370938.3	MANE Select	NC_000013.11	26254129	26405238	+
GeneID:1025	ENSG00000136807.14	HGNC:1780	CDK9	cyclin dependent kinase 9	NM_001261.4	NP_001252.1	ENST00000373264.5	ENSP00000362361.4	MANE Select	NC_000009.12	127786034	127790792	+
GeneID:1026	ENSG00000124762.15	HGNC:1784	CDKN1A	cyclin dependent kinase inhibitor 1A	NM_000389.5	NP_000380.1	ENST00000244741.10	ENSP00000244741.6	MANE Select	NC_000006.12	36678714	36687332	+
GeneID:1027	ENSG00000111276.12	HGNC:1785	CDKN1B	cyclin dependent kinase inhibitor 1B	NM_004064.5	NP_004055.1	ENST00000228872.9	ENSP00000228872.4	MANE Select	NC_000012.12	12717368	12722369	+
GeneID:1028	ENSG00000129757.15	HGNC:1786	CDKN1C	cyclin dependent kinase inhibitor 1C	NM_001122630.2	NP_001116102.1	ENST00000440480.8	ENSP00000411257.2	MANE Select	NC_000011.10	2883218	2885775	-
GeneID:1029	ENSG00000147889.18	HGNC:1787	CDKN2A	cyclin dependent kinase inhibitor 2A	NM_000077.5	NP_000068.1	ENST00000304494.10	ENSP00000307101.5	MANE Select	NC_000009.12	21967752	21974857	-
GeneID:1029	ENSG00000147889.18	HGNC:1787	CDKN2A	cyclin dependent kinase inhibitor 2A	NM_058195.4	NP_478102.2	ENST00000579755.2	ENSP00000462950.1	MANE Plus Clinical	NC_000009.12	21967752	21994392	-
GeneID:1030	ENSG00000147883.12	HGNC:1788	CDKN2B	cyclin dependent kinase inhibitor 2B	NM_004936.4	NP_004927.2	ENST00000276925.7	ENSP00000276925.6	MANE Select	NC_000009.12	22002903	22009305	-
GeneID:1031	ENSG00000123080.12	HGNC:1789	CDKN2C	cyclin dependent kinase inhibitor 2C	NM_078626.3	NP_523240.1	ENST00000371761.4	ENSP00000360826.3	MANE Select	NC_000001.11	50970245	50974634	+
GeneID:1032	ENSG00000129355.7	HGNC:1790	CDKN2D	cyclin dependent kinase inhibitor 2D	NM_001800.4	NP_001791.1	ENST00000393599.3	ENSP00000377224.1	MANE Select	NC_000019.10	10566460	10568979	-
GeneID:1033	ENSG00000100526.21	HGNC:1791	CDKN3	cyclin dependent kinase inhibitor 3	NM_005192.4	NP_005183.2	ENST00000335183.11	ENSP00000335357.6	MANE Select	NC_000014.9	54397007	54420218	+
GeneID:1036	ENSG00000129596.5	HGNC:1795	CDO1	cysteine dioxygenase type 1	NM_001801.3	NP_001792.2	ENST00000250535.5	ENSP00000250535.4	MANE Select	NC_000005.10	115804733	115816659	-
GeneID:1039	ENSG00000140743.8	HGNC:1799	CDR2	cerebellar degeneration related protein 2	NM_001802.2	NP_001793.1	ENST00000268383.7	ENSP00000268383.2	MANE Select	NC_000016.10	22345936	22374619	-
GeneID:1040	ENSG00000163624.6	HGNC:1800	CDS1	CDP-diacylglycerol synthase 1	NM_001263.4	NP_001254.2	ENST00000295887.6	ENSP00000295887.5	MANE Select	NC_000004.12	84583127	84651334	+
GeneID:1041	ENSG00000204539.4	HGNC:1802	CDSN	corneodesmosin	NM_001264.5	NP_001255.4	ENST00000376288.3	ENSP00000365465.2	MANE Select	NC_000006.12	31115087	31120446	-
GeneID:1043	ENSG00000169442.9	HGNC:1804	CD52	CD52 molecule	NM_001803.3	NP_001794.2	ENST00000374213.3	ENSP00000363330.2	MANE Select	NC_000001.11	26317958	26320523	+
GeneID:1044	ENSG00000113722.18	HGNC:1805	CDX1	caudal type homeobox 1	NM_001804.3	NP_001795.2	ENST00000231656.13	ENSP00000231656.7	MANE Select	NC_000005.10	150166778	150184558	+
GeneID:1045	ENSG00000165556.10	HGNC:1806	CDX2	caudal type homeobox 2	NM_001265.6	NP_001256.4	ENST00000381020.8	ENSP00000370408.6	MANE Select	NC_000013.11	27960918	27969315	-
GeneID:1046	ENSG00000131264.4	HGNC:1808	CDX4	caudal type homeobox 4	NM_005193.2	NP_005184.1	ENST00000373514.3	ENSP00000362613.1	MANE Select	NC_000023.11	73447053	73455171	+
GeneID:1047	ENSG00000153132.13	HGNC:2060	CLGN	calmegin	NM_004362.3	NP_004353.1	ENST00000325617.10	ENSP00000326699.5	MANE Select	NC_000004.12	140388453	140427648	-
GeneID:1048	ENSG00000105388.17	HGNC:1817	CEACAM5	CEA cell adhesion molecule 5	NM_004363.6	NP_004354.3	ENST00000221992.11	ENSP00000221992.5	MANE Select	NC_000019.10	41708626	41730433	+
GeneID:1050	ENSG00000245848.3	HGNC:1833	CEBPA	CCAAT enhancer binding protein alpha	NM_004364.5	NP_004355.2	ENST00000498907.3	ENSP00000427514.1	MANE Select	NC_000019.10	33299934	33302534	-
GeneID:1051	ENSG00000172216.7	HGNC:1834	CEBPB	CCAAT enhancer binding protein beta	NM_005194.4	NP_005185.2	ENST00000303004.5	ENSP00000305422.3	MANE Select	NC_000020.11	50190830	50192668	+
GeneID:1052	ENSG00000221869.5	HGNC:1835	CEBPD	CCAAT enhancer binding protein delta	NM_005195.4	NP_005186.2	ENST00000408965.4	ENSP00000386165.3	MANE Select	NC_000008.11	47736913	47738164	-
GeneID:1053	ENSG00000092067.7	HGNC:1836	CEBPE	CCAAT enhancer binding protein epsilon	NM_001805.4	NP_001796.2	ENST00000206513.6	ENSP00000206513.5	MANE Select	NC_000014.9	23117306	23119255	-
GeneID:1054	ENSG00000153879.9	HGNC:1837	CEBPG	CCAAT enhancer binding protein gamma	NM_001806.4	NP_001797.1	ENST00000284000.9	ENSP00000284000.2	MANE Select	NC_000019.10	33373709	33382686	+
GeneID:1056	ENSG00000170835.17	HGNC:1848	CEL	carboxyl ester lipase	NM_001807.6	NP_001798.3	ENST00000372080.8	ENSP00000361151.6	MANE Select	NC_000009.12	133061981	133071861	+
GeneID:1058	ENSG00000115163.15	HGNC:1851	CENPA	centromere protein A	NM_001809.4	NP_001800.1	ENST00000335756.9	ENSP00000336868.4	MANE Select	NC_000002.12	26786056	26794589	+
GeneID:1059	ENSG00000125817.8	HGNC:1852	CENPB	centromere protein B	NM_001810.6	NP_001801.1	ENST00000379751.5	ENSP00000369075.4	MANE Select	NC_000020.11	3783851	3786740	-
GeneID:1060	ENSG00000145241.11	HGNC:1854	CENPC	centromere protein C	NM_001812.4	NP_001803.2	ENST00000273853.11	ENSP00000273853.6	MANE Select	NC_000004.12	67468762	67545503	-
GeneID:1062	ENSG00000138778.14	HGNC:1856	CENPE	centromere protein E	NM_001813.3	NP_001804.2	ENST00000265148.9	ENSP00000265148.3	MANE Select	NC_000004.12	103105811	103198343	-
GeneID:1063	ENSG00000117724.15	HGNC:1857	CENPF	centromere protein F	NM_016343.4	NP_057427.3	ENST00000366955.8	ENSP00000355922.3	MANE Select	NC_000001.11	214603195	214664571	+
GeneID:1066	ENSG00000198848.13	HGNC:1863	CES1	carboxylesterase 1	NM_001025195.2	NP_001020366.1	ENST00000360526.8	ENSP00000353720.4	MANE Select	NC_000016.10	55802851	55833096	-
GeneID:1068	ENSG00000177143.5	HGNC:1866	CETN1	centrin 1	NM_004066.3	NP_004057.1	ENST00000327228.5	ENSP00000319052.3	MANE Select	NC_000018.10	580380	582114	+
GeneID:1069	ENSG00000147400.10	HGNC:1867	CETN2	centrin 2	NM_004344.3	NP_004335.1	ENST00000370277.5	ENSP00000359300.3	MANE Select	NC_000023.11	152826994	152830757	-
GeneID:1070	ENSG00000153140.9	HGNC:1868	CETN3	centrin 3	NM_004365.4	NP_004356.2	ENST00000283122.8	ENSP00000283122.3	MANE Select	NC_000005.10	90392257	90409756	-
GeneID:1071	ENSG00000087237.12	HGNC:1869	CETP	cholesteryl ester transfer protein	NM_000078.3	NP_000069.2	ENST00000200676.8	ENSP00000200676.3	MANE Select	NC_000016.10	56961950	56983845	+
GeneID:1072	ENSG00000172757.13	HGNC:1874	CFL1	cofilin 1	NM_005507.3	NP_005498.1	ENST00000308162.10	ENSP00000309629.5	MANE Select	NC_000011.10	65854673	65858180	-
GeneID:1073	ENSG00000165410.15	HGNC:1875	CFL2	cofilin 2	NM_138638.5	NP_619579.1	ENST00000298159.11	ENSP00000298159.6	MANE Select	NC_000014.9	34709113	34714593	-
GeneID:1075	ENSG00000109861.17	HGNC:2528	CTSC	cathepsin C	NM_001814.6	NP_001805.4	ENST00000227266.10	ENSP00000227266.4	MANE Select	NC_000011.10	88293592	88337736	-
GeneID:1080	ENSG00000001626.18	HGNC:1884	CFTR	CF transmembrane conductance regulator	NM_000492.4	NP_000483.3	ENST00000003084.11	ENSP00000003084.6	MANE Select	NC_000007.14	117480025	117668665	+
GeneID:1081	ENSG00000135346.9	HGNC:1885	CGA	glycoprotein hormones, alpha polypeptide	NM_000735.4	NP_000726.1	ENST00000627148.3	ENSP00000486024.1	MANE Select	NC_000006.12	87085498	87095106	-
GeneID:1082	ENSG00000104827.12	HGNC:1886	CGB3	chorionic gonadotropin subunit beta 3	NM_000737.5	NP_000728.1	ENST00000357383.4	ENSP00000349954.2	MANE Select	NC_000019.10	49022869	49024333	-
GeneID:1084	ENSG00000170956.17	HGNC:1815	CEACAM3	CEA cell adhesion molecule 3	NM_001815.5	NP_001806.2	ENST00000357396.8	ENSP00000349971.3	MANE Select	NC_000019.10	41796587	41811554	+
GeneID:1087	ENSG00000007306.15	HGNC:1819	CEACAM7	CEA cell adhesion molecule 7	NM_001291485.2	NP_001278414.1	ENST00000401731.6	ENSP00000385932.1	MANE Select	NC_000019.10	41673303	41688270	-
GeneID:1088	ENSG00000124469.12	HGNC:1820	CEACAM8	CEA cell adhesion molecule 8	NM_001816.4	NP_001807.2	ENST00000244336.10	ENSP00000244336.5	MANE Select	NC_000019.10	42580243	42594924	-
GeneID:1089	ENSG00000105352.11	HGNC:1816	CEACAM4	CEA cell adhesion molecule 4	NM_001817.4	NP_001808.2	ENST00000221954.7	ENSP00000221954.2	MANE Select	NC_000019.10	41619015	41627074	-
GeneID:1101	ENSG00000136457.10	HGNC:1909	CHAD	chondroadherin	NM_001267.3	NP_001258.2	ENST00000508540.6	ENSP00000423812.1	MANE Select	NC_000017.11	50464496	50468880	-
GeneID:1102	ENSG00000136161.13	HGNC:1914	RCBTB2	RCC1 and BTB domain containing protein 2	NM_001268.4	NP_001259.1	ENST00000344532.8	ENSP00000345144.3	MANE Select	NC_000013.11	48488963	48533080	-
GeneID:1103	ENSG00000070748.19	HGNC:1912	CHAT	choline O-acetyltransferase	NM_020549.5	NP_065574.4	ENST00000337653.7	ENSP00000337103.2	MANE Select	NC_000010.11	49614037	49667942	+
GeneID:1104	ENSG00000180198.17	HGNC:1913	RCC1	regulator of chromosome condensation 1	NM_001381865.2	NP_001368794.1	ENST00000683442.1	ENSP00000508074.1	MANE Select	NC_000001.11	28506043	28538989	+
GeneID:1105	ENSG00000153922.12	HGNC:1915	CHD1	chromodomain helicase DNA binding protein 1	NM_001270.4	NP_001261.2	ENST00000614616.5	ENSP00000483667.1	MANE Select	NC_000005.10	98853985	98929007	-
GeneID:1106	ENSG00000173575.24	HGNC:1917	CHD2	chromodomain helicase DNA binding protein 2	NM_001271.4	NP_001262.3	ENST00000394196.9	ENSP00000377747.4	MANE Select	NC_000015.10	92900324	93027996	+
GeneID:1107	ENSG00000170004.19	HGNC:1918	CHD3	chromodomain helicase DNA binding protein 3	NM_001005273.3	NP_001005273.1	ENST00000330494.12	ENSP00000332628.7	MANE Select	NC_000017.11	7888789	7912755	+
GeneID:1108	ENSG00000111642.16	HGNC:1919	CHD4	chromodomain helicase DNA binding protein 4	NM_001273.5	NP_001264.2	ENST00000544040.7	ENSP00000440542.2	MANE Select	NC_000012.12	6570082	6607379	-
GeneID:1109	ENSG00000198610.11	HGNC:387	AKR1C4	aldo-keto reductase family 1 member C4	NM_001818.5	NP_001809.4	ENST00000263126.3	ENSP00000263126.1	MANE Select	NC_000010.11	5196837	5218949	+
GeneID:1111	ENSG00000149554.15	HGNC:1925	CHEK1	checkpoint kinase 1	NM_001114122.3	NP_001107594.1	ENST00000438015.7	ENSP00000388648.1	MANE Select	NC_000011.10	125625163	125657147	+
GeneID:1112	ENSG00000053254.16	HGNC:1928	FOXN3	forkhead box N3	NM_005197.4	NP_005188.2	ENST00000557258.6	ENSP00000452005.1	MANE Select	NC_000014.9	89156177	89417233	-
GeneID:1113	ENSG00000100604.13	HGNC:1929	CHGA	chromogranin A	NM_001275.4	NP_001266.1	ENST00000216492.10	ENSP00000216492.5	MANE Select	NC_000014.9	92923150	92935285	+
GeneID:1114	ENSG00000089199.10	HGNC:1930	CHGB	chromogranin B	NM_001819.3	NP_001810.2	ENST00000378961.9	ENSP00000368244.4	MANE Select	NC_000020.11	5911510	5925353	+
GeneID:1116	ENSG00000133048.13	HGNC:1932	CHI3L1	chitinase 3 like 1	NM_001276.4	NP_001267.2	ENST00000255409.8	ENSP00000255409.3	MANE Select	NC_000001.11	203178931	203186704	-
GeneID:1117	ENSG00000064886.14	HGNC:1933	CHI3L2	chitinase 3 like 2	NM_004000.3	NP_003991.2	ENST00000369748.9	ENSP00000358763.4	MANE Select	NC_000001.11	111227713	111243440	+
GeneID:1118	ENSG00000133063.16	HGNC:1936	CHIT1	chitinase 1	NM_003465.3	NP_003456.1	ENST00000367229.6	ENSP00000356198.1	MANE Select	NC_000001.11	203216079	203229673	-
GeneID:1119	ENSG00000110721.12	HGNC:1937	CHKA	choline kinase alpha	NM_001277.3	NP_001268.2	ENST00000265689.9	ENSP00000265689.4	MANE Select	NC_000011.10	68052859	68121388	-
GeneID:1120	ENSG00000100288.20	HGNC:1938	CHKB	choline kinase beta	NM_005198.5	NP_005189.2	ENST00000406938.3	ENSP00000384400.3	MANE Select	NC_000022.11	50578963	50582849	-
GeneID:1121	ENSG00000188419.14	HGNC:1940	CHM	CHM Rab escort protein	NM_000390.4	NP_000381.1	ENST00000357749.7	ENSP00000350386.2	MANE Select	NC_000023.11	85861180	86047558	-
GeneID:1122	ENSG00000203668.3	HGNC:1941	CHML	CHM like Rab escort protein	NM_001381853.1	NP_001368782.1	ENST00000366553.3	ENSP00000355511.1	MANE Select	NC_000001.11	241628851	241640369	-
GeneID:1123	ENSG00000128656.15	HGNC:1943	CHN1	chimerin 1	NM_001822.7	NP_001813.1	ENST00000409900.9	ENSP00000386741.4	MANE Select	NC_000002.12	174798809	175005381	-
GeneID:1124	ENSG00000106069.26	HGNC:1944	CHN2	chimerin 2	NM_004067.4	NP_004058.1	ENST00000222792.11	ENSP00000222792.7	MANE Select	NC_000007.14	29194775	29514328	+
GeneID:1128	ENSG00000168539.4	HGNC:1950	CHRM1	cholinergic receptor muscarinic 1	NM_000738.3	NP_000729.2	ENST00000306960.4	ENSP00000306490.3	MANE Select	NC_000011.10	62908679	62921363	-
GeneID:1129	ENSG00000181072.12	HGNC:1951	CHRM2	cholinergic receptor muscarinic 2	NM_001006630.2	NP_001006631.1	ENST00000680005.1	ENSP00000505686.1	MANE Select	NC_000007.14	136868652	137020213	+
GeneID:1130	ENSG00000143669.16	HGNC:1968	LYST	lysosomal trafficking regulator	NM_000081.4	NP_000072.2	ENST00000389793.7	ENSP00000374443.2	MANE Select	NC_000001.11	235661041	235866906	-
GeneID:1131	ENSG00000133019.12	HGNC:1952	CHRM3	cholinergic receptor muscarinic 3	NM_001375978.1	NP_001362907.1	ENST00000676153.1	ENSP00000502667.1	MANE Select	NC_000001.11	239386568	239915450	+
GeneID:1132	ENSG00000180720.8	HGNC:1953	CHRM4	cholinergic receptor muscarinic 4	NM_000741.5	NP_000732.2	ENST00000682254.1	ENSP00000507561.1	MANE Select	NC_000011.10	46383789	46391776	-
GeneID:1133	ENSG00000184984.10	HGNC:1954	CHRM5	cholinergic receptor muscarinic 5	NM_012125.4	NP_036257.1	ENST00000383263.7	ENSP00000372750.5	MANE Select	NC_000015.10	33968497	34067458	+
GeneID:1134	ENSG00000138435.16	HGNC:1955	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	NM_000079.4	NP_000070.1	ENST00000348749.9	ENSP00000261008.5	MANE Select	NC_000002.12	174747592	174764472	-
GeneID:1135	ENSG00000120903.13	HGNC:1956	CHRNA2	cholinergic receptor nicotinic alpha 2 subunit	NM_000742.4	NP_000733.2	ENST00000407991.3	ENSP00000385026.1	MANE Select	NC_000008.11	27459756	27479261	-
GeneID:1136	ENSG00000080644.16	HGNC:1957	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	NM_000743.5	NP_000734.2	ENST00000326828.6	ENSP00000315602.5	MANE Select	NC_000015.10	78595309	78620996	-
GeneID:1137	ENSG00000101204.18	HGNC:1958	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	NM_000744.7	NP_000735.1	ENST00000370263.9	ENSP00000359285.4	MANE Select	NC_000020.11	63343223	63361349	-
GeneID:1138	ENSG00000169684.13	HGNC:1959	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	NM_000745.4	NP_000736.2	ENST00000299565.9	ENSP00000299565.5	MANE Select	NC_000015.10	78565520	78595269	+
GeneID:1139	ENSG00000175344.19	HGNC:1960	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit	NM_000746.6	NP_000737.1	ENST00000306901.9	ENSP00000303727.2	MANE Select	NC_000015.10	32030515	32173018	+
GeneID:1140	ENSG00000170175.11	HGNC:1961	CHRNB1	cholinergic receptor nicotinic beta 1 subunit	NM_000747.3	NP_000738.2	ENST00000306071.7	ENSP00000304290.2	MANE Select	NC_000017.11	7445061	7457710	+
GeneID:1141	ENSG00000160716.6	HGNC:1962	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	NM_000748.3	NP_000739.1	ENST00000368476.4	ENSP00000357461.3	MANE Select	NC_000001.11	154567778	154580013	+
GeneID:1142	ENSG00000147432.7	HGNC:1963	CHRNB3	cholinergic receptor nicotinic beta 3 subunit	NM_000749.5	NP_000740.1	ENST00000289957.3	ENSP00000289957.2	MANE Select	NC_000008.11	42697366	42737407	+
GeneID:1143	ENSG00000117971.12	HGNC:1964	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	NM_000750.5	NP_000741.1	ENST00000261751.8	ENSP00000261751.3	MANE Select	NC_000015.10	78624111	78641210	-
GeneID:1144	ENSG00000135902.10	HGNC:1965	CHRND	cholinergic receptor nicotinic delta subunit	NM_000751.3	NP_000742.1	ENST00000258385.8	ENSP00000258385.3	MANE Select	NC_000002.12	232526160	232536664	+
GeneID:1145	ENSG00000108556.10	HGNC:1966	CHRNE	cholinergic receptor nicotinic epsilon subunit	NM_000080.4	NP_000071.1	ENST00000649488.2	ENSP00000497829.1	MANE Select	NC_000017.11	4897771	4903098	-
GeneID:1146	ENSG00000196811.13	HGNC:1967	CHRNG	cholinergic receptor nicotinic gamma subunit	NM_005199.5	NP_005190.4	ENST00000651502.1	ENSP00000498757.1	MANE Select	NC_000002.12	232539692	232548115	+
GeneID:1147	ENSG00000213341.11	HGNC:1974	CHUK	component of inhibitor of nuclear factor kappa B kinase complex	NM_001278.5	NP_001269.3	ENST00000370397.8	ENSP00000359424.6	MANE Select	NC_000010.11	100188300	100229596	-
GeneID:1149	ENSG00000176194.18	HGNC:1976	CIDEA	cell death inducing DFFA like effector a	NM_001279.4	NP_001270.1	ENST00000320477.10	ENSP00000320209.8	MANE Select	NC_000018.10	12254361	12277595	+
GeneID:1152	ENSG00000166165.14	HGNC:1991	CKB	creatine kinase B	NM_001823.5	NP_001814.2	ENST00000348956.7	ENSP00000299198.2	MANE Select	NC_000014.9	103519667	103522830	-
GeneID:1153	ENSG00000099622.14	HGNC:1982	CIRBP	cold inducible RNA binding protein	NM_001300829.2	NP_001287758.1	ENST00000587896.6	ENSP00000466025.1	MANE Select	NC_000019.10	1269332	1274810	+
GeneID:1154	ENSG00000114737.16	HGNC:1984	CISH	cytokine inducible SH2 containing protein	NM_145071.4	NP_659508.1	ENST00000348721.4	ENSP00000294173.3	MANE Select	NC_000003.12	50606489	50611774	-
GeneID:1155	ENSG00000105254.12	HGNC:1989	TBCB	tubulin folding cofactor B	NM_001281.3	NP_001272.2	ENST00000221855.8	ENSP00000221855.3	MANE Select	NC_000019.10	36115468	36125941	+
GeneID:1158	ENSG00000104879.5	HGNC:1994	CKM	creatine kinase, M-type	NM_001824.5	NP_001815.2	ENST00000221476.4	ENSP00000221476.2	MANE Select	NC_000019.10	45306413	45322875	-
GeneID:1159	ENSG00000237289.10	HGNC:1995	CKMT1B	creatine kinase, mitochondrial 1B	NM_001375484.1	NP_001362413.1	ENST00000441322.6	ENSP00000413255.2	MANE Select	NC_000015.10	43594027	43599406	+
GeneID:1160	ENSG00000131730.16	HGNC:1996	CKMT2	creatine kinase, mitochondrial 2	NM_001099735.2	NP_001093205.1	ENST00000254035.9	ENSP00000254035.4	MANE Select	NC_000005.10	81233322	81266398	+
GeneID:1161	ENSG00000049167.16	HGNC:3439	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit	NM_000082.4	NP_000073.1	ENST00000676185.1	ENSP00000501614.1	MANE Select	NC_000005.10	60866454	60945070	-
GeneID:1163	ENSG00000173207.13	HGNC:19083	CKS1B	CDC28 protein kinase regulatory subunit 1B	NM_001826.3	NP_001817.1	ENST00000308987.6	ENSP00000311083.5	MANE Select	NC_000001.11	154974681	154979251	+
GeneID:1164	ENSG00000123975.5	HGNC:2000	CKS2	CDC28 protein kinase regulatory subunit 2	NM_001827.3	NP_001818.1	ENST00000314355.7	ENSP00000364976.3	MANE Select	NC_000009.12	89311195	89316703	+
GeneID:1173	ENSG00000161203.14	HGNC:564	AP2M1	adaptor related protein complex 2 subunit mu 1	NM_004068.4	NP_004059.2	ENST00000292807.9	ENSP00000292807.5	MANE Select	NC_000003.12	184174855	184184091	+
GeneID:1174	ENSG00000106367.15	HGNC:559	AP1S1	adaptor related protein complex 1 subunit sigma 1	NM_001283.5	NP_001274.1	ENST00000337619.11	ENSP00000336666.5	MANE Select	NC_000007.14	101154476	101161276	+
GeneID:1175	ENSG00000042753.12	HGNC:565	AP2S1	adaptor related protein complex 2 subunit sigma 1	NM_004069.6	NP_004060.2	ENST00000263270.11	ENSP00000263270.6	MANE Select	NC_000019.10	46838167	46850846	-
GeneID:1176	ENSG00000177879.17	HGNC:2013	AP3S1	adaptor related protein complex 3 subunit sigma 1	NM_001284.4	NP_001275.1	ENST00000316788.12	ENSP00000325369.7	MANE Select	NC_000005.10	115841935	115914081	+
GeneID:1178	ENSG00000105205.7	HGNC:2014	CLC	Charcot-Leyden crystal galectin	NM_001828.6	NP_001819.2	ENST00000221804.5	ENSP00000221804.3	MANE Select	NC_000019.10	39731255	39738029	-
GeneID:1179	ENSG00000016490.16	HGNC:2015	CLCA1	chloride channel accessory 1	NM_001285.4	NP_001276.3	ENST00000394711.2	ENSP00000378200.1	MANE Select	NC_000001.11	86468927	86500259	+
GeneID:1180	ENSG00000188037.14	HGNC:2019	CLCN1	chloride voltage-gated channel 1	NM_000083.3	NP_000074.3	ENST00000343257.7	ENSP00000339867.2	MANE Select	NC_000007.14	143316111	143352083	+
GeneID:1181	ENSG00000114859.16	HGNC:2020	CLCN2	chloride voltage-gated channel 2	NM_004366.6	NP_004357.3	ENST00000265593.9	ENSP00000265593.4	MANE Select	NC_000003.12	184346185	184361605	-
GeneID:1182	ENSG00000109572.16	HGNC:2021	CLCN3	chloride voltage-gated channel 3	NM_001829.4	NP_001820.2	ENST00000513761.6	ENSP00000424603.1	MANE Select	NC_000004.12	169620578	169723673	+
GeneID:1183	ENSG00000073464.13	HGNC:2022	CLCN4	chloride voltage-gated channel 4	NM_001830.4	NP_001821.2	ENST00000380833.9	ENSP00000370213.4	MANE Select	NC_000023.11	10156975	10237660	+
GeneID:1184	ENSG00000171365.17	HGNC:2023	CLCN5	chloride voltage-gated channel 5	NM_001127898.4	NP_001121370.1	ENST00000376091.8	ENSP00000365259.3	MANE Select	NC_000023.11	49922596	50099230	+
GeneID:1185	ENSG00000011021.23	HGNC:2024	CLCN6	chloride voltage-gated channel 6	NM_001286.5	NP_001277.2	ENST00000346436.11	ENSP00000234488.9	MANE Select	NC_000001.11	11806191	11843130	+
GeneID:1186	ENSG00000103249.19	HGNC:2025	CLCN7	chloride voltage-gated channel 7	NM_001287.6	NP_001278.1	ENST00000382745.9	ENSP00000372193.4	MANE Select	NC_000016.10	1444935	1475028	-
GeneID:1187	ENSG00000186510.12	HGNC:2026	CLCNKA	chloride voltage-gated channel Ka	NM_004070.4	NP_004061.3	ENST00000331433.5	ENSP00000332771.4	MANE Select	NC_000001.11	16022036	16034050	+
GeneID:1188	ENSG00000184908.20	HGNC:2027	CLCNKB	chloride voltage-gated channel Kb	NM_000085.5	NP_000076.2	ENST00000375679.9	ENSP00000364831.5	MANE Select	NC_000001.11	16043782	16057308	+
GeneID:1191	ENSG00000120885.22	HGNC:2095	CLU	clusterin	NM_001831.4	NP_001822.3	ENST00000316403.15	ENSP00000315130.10	MANE Select	NC_000008.11	27596917	27614700	-
GeneID:1192	ENSG00000213719.8	HGNC:2062	CLIC1	chloride intracellular channel 1	NM_001288.6	NP_001279.2	ENST00000375784.8	ENSP00000364940.3	MANE Select	NC_000006.12	31730599	31736530	-
GeneID:1193	ENSG00000155962.13	HGNC:2063	CLIC2	chloride intracellular channel 2	NM_001289.6	NP_001280.3	ENST00000369449.7	ENSP00000358460.2	MANE Select	NC_000023.11	155276211	155334614	-
GeneID:1195	ENSG00000013441.17	HGNC:2068	CLK1	CDC like kinase 1	NM_004071.4	NP_004062.2	ENST00000321356.9	ENSP00000326830.4	MANE Select	NC_000002.12	200853009	200864658	-
